"日足・最新の選択","当日"," 8月26日","日足"
"市場","銘柄コード","銘柄名","始値","高値","安値","終値","出来高","","","","","","","","","","","","","","",""
"","","","実","実","実","実","        実","","","","","","","","","","","","","","",""
ＪＱ,1984,三信建,247.0,258.0,247.0,258.0,11000,,,,,,,,,,,,,,,
東２,1987,ソルコム,262.0,262.0,260.0,261.0,4000,,,,,,,,,,,,,,,
東２,1989,北電話,291.0,305.0,290.0,305.0,2700,,,,,,,,,,,,,,,
ＪＱ,1992,神通機,141.0,153.0,141.0,153.0,46000,,,,,,,,,,,,,,,
ＪＱ,1994,高橋ウォル,880.0,921.0,880.0,908.0,45900,,,,,,,,,,,,,,,
ＪＱ,1997,暁飯島,1907.0,1990.0,1865.0,1979.0,7100,,,,,,,,,,,,,,,
東１,2001,日本粉,711.0,719.0,700.0,713.0,482000,,,,,,,,,,,,,,,
東１,2002,日清粉Ｇ,1562.0,1595.0,1545.0,1567.0,1747300,,,,,,,,,,,,,,,
東１,2003,日東富士,330.0,333.0,326.0,328.0,17000,,,,,,,,,,,,,,,
東１,2004,昭和産,434.0,444.0,432.0,432.0,229000,,,,,,,,,,,,,,,
東２,2006,東福粉,122.0,125.0,122.0,125.0,2000,,,,,,,,,,,,,,,
東１,2007,伊藤園優先株,1823.0,1830.0,1808.0,1820.0,40900,,,,,,,,,,,,,,,
東２,2008,増田粉,313.0,313.0,313.0,313.0,1000,,,,,,,,,,,,,,,
東１,2009,鳥越粉,710.0,735.0,703.0,728.0,20700,,,,,,,,,,,,,,,
東１,2053,中部飼,1035.0,1074.0,1018.0,1028.0,105100,,,,,,,,,,,,,,,
東２,2055,日和産,224.0,240.0,222.0,231.0,31000,,,,,,,,,,,,,,,
東１,2060,フィードワン,130.0,137.0,128.0,137.0,1353200,,,,,,,,,,,,,,,
東１,2107,東洋糖,106.0,110.0,105.0,110.0,166000,,,,,,,,,,,,,,,
東１,2108,甜菜糖,187.0,190.0,187.0,188.0,206000,,,,,,,,,,,,,,,
